STATE,ELECTORAL_VOTES,EV_BIDEN,EV_TRUMP,BIDEN,TRUMP,HAWKINS,JORGENSEN,WRITE_IN,TOTAL_VOTES
AL,9,,9,849624,1441170,,,7312,2323282
AK,3,,3,153778,189951,,25176,1961,359530
AZ,11,11,,1672143,1661686,,8897,36,3387326
AR,6,,6,423932,760647,1557,51465,,1219069
CA,55,55,,11110250,6006429,2980,13133,,17500881
CO,9,9,,1804352,1364607,81029,187895,4,3256980
CT,7,7,,1080831,714717,8986,52460,21,1823857
DE,3,3,,296268,200603,7538,20230,21,504346
DC,3,3,,317323,18586,2139,5000,3137,344356
FL,29,,29,5297045,5668731,1726,2036,20,11067456
GA,16,16,,2473633,2461854,14721,70324,49,4999960
HI,4,4,,366130,196864,1013,62229,,574469
ID,4,,4,287021,554119,3822,5539,6,868014
IL,20,20,,3471915,2446891,407,16404,127,6033744
IN,11,,11,1242416,1729519,30494,66544,70,3033121
IA,6,,6,759061,897672,989,59232,4337,1690871
KS,6,,6,570323,771406,3075,19637,,1372303
KY,8,,8,772474,1326646,,30574,11,2136768
LA,8,,8,856034,1255776,716,26234,,2148062
ME,4,3,1,435072,360737,,21645,87,819461
MD,10,10,,1985023,976414,8230,14152,18157,3037030
MA,11,11,,2382202,1167202,15799,33488,16327,3631402
MI,16,16,,2804040,2649852,18658,47013,6,5539302
MN,10,10,,1717077,1484065,13718,60381,8728,3277171
MS,6,,6,539398,756764,10033,34976,,1313759
MO,10,,10,1253014,1718736,1498,8026,3,3025962
MT,3,,3,244786,343602,8283,41205,2,603674
NE,5,1,4,374583,556846,,15252,4671,956383
NV,6,6,,703486,669890,,20283,,1405376
NH,4,4,,424937,365660,,14783,2073,806205
NJ,14,14,,2608335,1883274,217,13236,,4549353
NM,5,5,,501614,401894,14202,31677,,923965
NY,29,29,,5230985,3244798,4426,12585,30,8594826
NC,15,,15,2684292,2758775,32753,60234,13196,5524804
ND,3,,3,114902,235595,12195,48678,1929,361819
OH,18,,18,2679165,3154834,,9393,16,5922202
OK,7,,7,503890,1020280,18812,67569,,1560699
OR,7,7,,1340383,958448,,24731,17089,2374321
PA,20,20,,3458229,3377674,11831,41582,,6915283
RI,4,4,,307486,199922,,79380,2759,517757
SC,9,,9,1091541,1385103,,5053,,2513329
SD,3,,3,150471,261043,6907,27916,,422609
TN,11,,11,1143711,1852475,,11095,,3053851
TX,38,,38,5259126,5890347,4545,29877,460,11315056
UT,6,,6,560282,865140,33396,126243,1,1488289
VT,3,3,,242820,112704,5053,38447,1942,367428
VA,13,13,,2413568,1962430,1310,3608,19765,4460524
WA,12,12,,2369612,1584651,,64761,27252,4087631
WV,5,,5,235984,545382,18289,80500,16,794731
WI,10,10,,1630866,1610184,2599,10687,6392,3298041
WY,3,,3,73491,193559,1089,38491,1739,276765
